NAME OF COMPANY, DATE OF LISTING,SYMBOL, SERIES, ISIN NUMBER, PAID UP VALUE, MARKET LOT, FACE VALUE
Thangamayil Jewellery Limited,19-Feb-10,THANGAMAYL,EQ,INE085J01014,10,1,10
The Investment Trust Of India Limited,2-Aug-17,THEINVEST,EQ,INE924D01017,10,1,10
Themis Medicare Limited,2-Apr-07,THEMISMED,EQ,INE083B01016,10,1,10
Thermax Limited,30-Aug-95,THERMAX,EQ,INE152A01029,2,1,2
Thiru Arooran Sugars Limited,2-May-95,THIRUSUGAR,EQ,INE409A01015,10,1,10
Thomas Cook  (India)  Limited,7-Jun-00,THOMASCOOK,EQ,INE332A01027,1,1,1
Thomas Scott (India) Limited,30-Jan-12,THOMASCOTT,BE,INE480M01011,10,1,10
Thyrocare Technologies Limited,9-May-16,THYROCARE,EQ,INE594H01019,10,1,10
Tilaknagar Industries Limited,16-Jul-10,TI,EQ,INE133E01013,10,1,10
Tide Water Oil Company (India) Limited,16-Jan-07,TIDEWATER,EQ,INE484C01022,5,1,5
TI Financial Holdings Limited,25-Sep-17,TIFIN,EQ,INE149A01033,1,1,1
Technocraft Industries (India) Limited,12-Feb-07,TIIL,EQ,INE545H01011,10,1,10
Tube Investments of India Limited,2-Nov-17,TIINDIA,EQ,INE974X01010,1,1,1
Tijaria Polypipes Limited,14-Oct-11,TIJARIA,EQ,INE440L01017,10,1,10
TIL Limited,27-Sep-95,TIL,EQ,INE806C01018,10,1,10
Times Guaranty Limited,11-Jun-02,TIMESGTY,BE,INE289C01025,10,1,10
Time Technoplast Limited,13-Jun-07,TIMETECHNO,EQ,INE508G01029,1,1,1
Timken India Limited,6-Feb-07,TIMKEN,EQ,INE325A01013,10,1,10
The Tinplate Company of India Limited,27-Jan-06,TINPLATE,EQ,INE422C01014,10,1,10
TIPS Industries Limited,10-Nov-00,TIPSINDLTD,EQ,INE716B01011,10,1,10
Thirumalai Chemicals Limited,14-May-03,TIRUMALCHM,EQ,INE338A01024,1,1,1
Titan Company Limited,24-Sep-04,TITAN,EQ,INE280A01028,1,1,1
The Mandhana Retail Ventures Limited,14-Dec-16,TMRVL,EQ,INE759V01019,10,1,10
Tamilnadu PetroProducts Limited,27-Oct-99,TNPETRO,EQ,INE148A01019,10,1,10
Tamil Nadu Newsprint & Papers Limited,14-Feb-96,TNPL,EQ,INE107A01015,10,1,10
Tamilnadu Telecommunication Limited,4-Feb-03,TNTELE,BE,INE141D01018,10,1,10
Todays Writing Instruments Limited,8-Oct-01,TODAYS,BZ,INE944B01019,10,1,10
Tokyo Plast International Limited,11-Oct-95,TOKYOPLAST,EQ,INE932C01012,10,1,10
Torrent Pharmaceuticals Limited,25-Nov-02,TORNTPHARM,EQ,INE685A01028,5,1,5
Torrent Power Limited,28-Nov-06,TORNTPOWER,EQ,INE813H01021,10,1,10
TPL Plastech Limited,20-May-15,TPLPLASTEH,EQ,INE413G01014,10,1,10
Tree House Education & Accessories Limited,26-Aug-11,TREEHOUSE,EQ,INE040M01013,10,1,10
Trent Limited,7-Jun-04,TRENT,EQ,INE849A01020,1,1,1
TRF Limited,26-Mar-10,TRF,EQ,INE391D01019,10,1,10
Trident Limited,21-Feb-01,TRIDENT,EQ,INE064C01014,10,1,10
Trigyn Technologies Limited,9-Apr-98,TRIGYN,EQ,INE948A01012,10,1,10
Transformers And Rectifiers (India) Limited,28-Dec-07,TRIL,EQ,INE763I01026,1,1,1
Triveni Turbine Limited,28-Oct-11,TRITURBINE,EQ,INE152M01016,1,1,1
Triveni Engineering & Industries Limited,13-Dec-05,TRIVENI,EQ,INE256C01024,1,1,1
TTK Healthcare Limited,2-Dec-15,TTKHLTCARE,EQ,INE910C01018,10,1,10
TTK Prestige Limited,22-Dec-99,TTKPRESTIG,EQ,INE690A01010,10,1,10
T T Limited,22-Feb-07,TTL,EQ,INE592B01016,10,1,10
Tata Teleservices (Maharashtra) Limited,20-Oct-00,TTML,EQ,INE517B01013,10,1,10
Tulsi Extrusions Limited,25-Feb-08,TULSI,BE,INE474I01012,10,1,10
TV18 Broadcast Limited,8-Feb-07,TV18BRDCST,EQ,INE886H01027,2,1,2
TVS Electronics Limited,26-Dec-03,TVSELECT,EQ,INE236G01019,10,1,10
TVS Motor Company Limited,2-Aug-00,TVSMOTOR,EQ,INE494B01023,1,1,1
TVS Srichakra Limited,13-Feb-07,TVSSRICHAK,EQ,INE421C01016,10,1,10
TV Today Network Limited,16-Jan-04,TVTODAY,EQ,INE038F01029,5,1,5
TV Vision Limited,15-Sep-16,TVVISION,BE,INE871L01013,10,1,10
Titagarh Wagons Limited,21-Apr-08,TWL,EQ,INE615H01020,2,1,2
United Breweries Limited,28-Jul-08,UBL,EQ,INE686F01025,1,1,1
Ucal Fuel Systems Limited,13-Sep-95,UCALFUEL,EQ,INE139B01016,10,1,10
UCO Bank,9-Oct-03,UCOBANK,EQ,INE691A01018,10,1,10
UFLEX Limited,23-Aug-95,UFLEX,EQ,INE516A01017,10,1,10
UFO Moviez India Limited,14-May-15,UFO,EQ,INE527H01019,10,1,10
The Ugar Sugar Works Limited,23-Aug-10,UGARSUGAR,EQ,INE071E01023,1,1,1
Ujaas Energy Limited,20-Oct-11,UJAAS,EQ,INE899L01022,1,1,1
Ujjivan Financial Services Limited,10-May-16,UJJIVAN,EQ,INE334L01012,10,1,10
UltraTech Cement Limited,24-Aug-04,ULTRACEMCO,EQ,INE481G01011,10,1,10
Umang Dairies Limited,2-Dec-15,UMANGDAIRY,EQ,INE864B01027,5,1,5
Usha Martin Education & Solutions Limited,12-Jul-10,UMESLTD,EQ,INE240C01028,1,1,1
Unichem Laboratories Limited,7-Feb-01,UNICHEMLAB,EQ,INE351A01035,2,1,2
Uniphos Enterprises Limited,23-Jan-04,UNIENTER,EQ,INE037A01022,2,1,2
Union Bank of India,24-Sep-02,UNIONBANK,EQ,INE692A01016,10,1,10
Uniply Industries Limited,8-Mar-07,UNIPLY,EQ,INE950G01023,2,1,2
Unitech Limited,8-Sep-99,UNITECH,EQ,INE694A01020,2,1,2
United Bank of India,18-Mar-10,UNITEDBNK,EQ,INE695A01019,10,1,10
The United Nilgiri Tea Estates Company Limited,28-Jan-15,UNITEDTEA,EQ,INE458F01011,10,1,10
Unity Infraprojects Limited,12-Jun-06,UNITY,BE,INE466H01028,2,1,2
Universal Cables Limited,17-May-95,UNIVCABLES,EQ,INE279A01012,10,1,10
UPL Limited,23-Jan-04,UPL,EQ,INE628A01036,2,1,2
Urja Global Limited,28-Mar-17,URJA,EQ,INE550C01020,1,1,1
Usha Martin Limited,11-Oct-00,USHAMART,EQ,INE228A01035,1,1,1
Usher Agro Limited,30-Jul-10,USHERAGRO,EQ,INE235G01011,10,1,10
Uttam Galva Steels Limited,25-May-95,UTTAMSTL,EQ,INE699A01011,10,1,10
Uttam Sugar Mills Limited,10-Apr-06,UTTAMSUGAR,EQ,INE786F01031,10,1,10
Uttam Value Steels Limited,24-Jun-16,UVSL,BE,INE292A01023,1,1,1
V2 Retail Limited,4-Jul-07,V2RETAIL,EQ,INE945H01013,10,1,10
Vadilal Industries Limited,15-Jun-11,VADILALIND,EQ,INE694D01016,10,1,10
Vaibhav Global Limited,5-Apr-04,VAIBHAVGBL,EQ,INE884A01019,10,1,10
Vakrangee Limited,3-Apr-06,VAKRANGEE,EQ,INE051B01021,1,1,1
Vardhman Acrylics Limited,30-Sep-03,VARDHACRLC,EQ,INE116G01013,10,1,10
Vardhman Polytex Limited,12-May-03,VARDMNPOLY,EQ,INE835A01011,10,1,10
Varroc Engineering Limited,6-Jul-18,VARROC,EQ,INE665L01035,1,1,1
Vascon Engineers Limited,15-Feb-10,VASCONEQ,EQ,INE893I01013,10,1,10
Vaswani Industries Limited,20-Sep-11,VASWANI,EQ,INE590L01019,10,1,10
Varun Beverages Limited,8-Nov-16,VBL,EQ,INE200M01013,10,1,10
Vedanta Limited,13-May-98,VEDL,EQ,INE205A01025,1,1,1
Venky's (India) Limited,28-Jul-03,VENKEYS,EQ,INE398A01010,10,1,10
Venus Remedies Limited,20-Dec-06,VENUSREM,EQ,INE411B01019,10,1,10
Vesuvius India Limited,4-Oct-02,VESUVIUS,EQ,INE386A01015,10,1,10
Veto Switchgears And Cables Limited,29-Apr-15,VETO,EQ,INE918N01018,10,1,10
V-Guard Industries Limited,13-Mar-08,VGUARD,EQ,INE951I01027,1,1,1
Vardhman Holdings Limited,30-Jun-05,VHL,EQ,INE701A01023,10,1,10
Viceroy Hotels Limited,21-Aug-07,VICEROY,EQ,INE048C01017,10,1,10
Videocon Industries Limited,31-Jul-96,VIDEOIND,BE,INE703A01011,10,1,10
Vidhi Specialty Food Ingredients Limited,2-Mar-16,VIDHIING,EQ,INE632C01026,1,1,1
Vijaya Bank,10-Jan-01,VIJAYABANK,EQ,INE705A01016,10,1,10
Viji Finance Limited,11-Jul-16,VIJIFIN,EQ,INE159N01027,1,1,1
Vijay Shanthi Builders Limited,21-May-08,VIJSHAN,EQ,INE806F01011,10,1,10
Vikas EcoTech Limited,12-Dec-11,VIKASECO,EQ,INE806A01020,1,1,1
Vimal Oil & Foods Limited,21-May-13,VIMALOIL,BE,INE067D01015,10,1,10
Vimta Labs Limited,15-Dec-05,VIMTALABS,EQ,INE579C01029,2,1,2
Vinati Organics Limited,28-Jul-09,VINATIORGA,EQ,INE410B01029,2,1,2
Vindhya Telelinks Limited,8-Feb-95,VINDHYATEL,EQ,INE707A01012,10,1,10
Vinyl Chemicals (India) Limited,21-Jul-08,VINYLINDIA,EQ,INE250B01029,1,1,1
VIP Clothing Limited,6-Aug-07,VIPCLOTHNG,EQ,INE450G01024,2,1,2
VIP Industries Limited,2-Mar-05,VIPIND,EQ,INE054A01027,2,1,2
Vipul Limited,23-Apr-15,VIPULLTD,EQ,INE946H01037,1,1,1
Visaka Industries Limited,28-Aug-96,VISAKAIND,EQ,INE392A01013,10,1,10
Visa Steel Limited,17-Mar-06,VISASTEEL,BE,INE286H01012,10,1,10
Visesh Infotecnics Limited,14-Jan-00,VISESHINFO,EQ,INE861A01058,1,1,1
Vishnu Chemicals Limited,5-Mar-15,VISHNU,EQ,INE270I01014,10,1,10
Visagar Polytex Limited,21-May-13,VIVIDHA,EQ,INE370E01029,1,1,1
Vivimed Labs Limited,17-Aug-05,VIVIMEDLAB,EQ,INE526G01021,2,1,2
VLS Finance Limited,25-May-95,VLSFINANCE,EQ,INE709A01018,10,1,10
V-Mart Retail Limited,20-Feb-13,VMART,EQ,INE665J01013,10,1,10
Voltamp Transformers Limited,20-Sep-06,VOLTAMP,EQ,INE540H01012,10,1,10
Voltas Limited,12-Apr-95,VOLTAS,EQ,INE226A01021,1,1,1
VRL Logistics Limited,30-Apr-15,VRLLOG,EQ,INE366I01010,10,1,10
Vardhman Special Steels Limited,17-May-12,VSSL,EQ,INE050M01012,10,1,10
VST Industries Limited,5-Sep-03,VSTIND,EQ,INE710A01016,10,1,10
V.S.T Tillers Tractors Limited,20-Jun-11,VSTTILLERS,EQ,INE764D01017,10,1,10
Vardhman Textiles Limited,14-Jan-03,VTL,EQ,INE825A01012,10,1,10
VA Tech Wabag Limited,13-Oct-10,WABAG,EQ,INE956G01038,2,1,2
WABCO India Limited,1-Oct-08,WABCOINDIA,EQ,INE342J01019,5,1,5
Walchandnagar Industries Limited,18-Sep-96,WALCHANNAG,EQ,INE711A01022,2,1,2
Wanbury Limited,29-Jan-07,WANBURY,BE,INE107F01022,10,1,10
Websol Energy System Limited,15-May-07,WEBELSOLAR,EQ,INE855C01015,10,1,10
Weizmann Forex Limited,28-Jun-11,WEIZFOREX,EQ,INE726L01019,10,1,10
Weizmann Limited,10-May-95,WEIZMANIND,BE,INE080A01014,10,1,10
Welspun Corp Limited,24-May-05,WELCORP,EQ,INE191B01025,5,1,5
Welspun Enterprises Limited,4-Nov-04,WELENT,EQ,INE625G01013,10,1,10
Welspun Investments and Commercials Limited,20-Sep-10,WELINV,EQ,INE389K01018,10,1,10
Welspun India Limited,4-Dec-03,WELSPUNIND,EQ,INE192B01031,1,1,1
