Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Allahabad Bank','FINANCIAL SERVICES','ALBK','EQ','INE428A01015');",
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Allcargo Logistics Ltd.','SERVICES','ALLCARGO','EQ','INE418H01029');",
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Amara Raja Batteries Ltd.','AUTOMOBILE','AMARAJABAT','EQ','INE885A01032');",
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Ambuja Cements Ltd.','CEMENT & CEMENT PRODUCTS','AMBUJACEM','EQ','INE079A01024');",
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Andhra Bank','FINANCIAL SERVICES','ANDHRABANK','EQ','INE434A01013');",
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Apollo Hospitals Enterprise Ltd.','HEALTHCARE SERVICES','APOLLOHOSP','EQ','INE437A01024');",
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Apollo Tyres Ltd.','AUTOMOBILE','APOLLOTYRE','EQ','INE438A01022');",
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Asahi India Glass Ltd.','AUTOMOBILE','ASAHIINDIA','EQ','INE439A01020');",
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Ashok Leyland Ltd.','AUTOMOBILE','ASHOKLEY','EQ','INE208A01029');",
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Ashoka Buildcon Ltd.','CONSTRUCTION','ASHOKA','EQ','INE442H01029');",
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Asian Paints Ltd.','CONSUMER GOODS','ASIANPAINT','EQ','INE021A01026');",
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Aster DM Healthcare Ltd.','HEALTHCARE SERVICES','ASTERDM','EQ','INE914M01019');",
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Astral Poly Technik Ltd.','INDUSTRIAL MANUFACTURING','ASTRAL','EQ','INE006I01046');",
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Atul Ltd.','CHEMICALS','ATUL','EQ','INE100A01010');",
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Aurobindo Pharma Ltd.','PHARMA','AUROPHARMA','EQ','INE406A01037');",
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Avanti Feeds Ltd.','CONSUMER GOODS','AVANTIFEED','EQ','INE871C01038');",
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Avenue Supermarts Ltd.','CONSUMER GOODS','DMART','EQ','INE192R01011');",
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Axis Bank Ltd.','FINANCIAL SERVICES','AXISBANK','EQ','INE238A01034');",
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('BASF India Ltd.','CHEMICALS','BASF','EQ','INE373A01013');",
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('BEML Ltd.','INDUSTRIAL MANUFACTURING','BEML','EQ','INE258A01016');",
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('BF Utilities Ltd.','CONSTRUCTION','BFUTILITIE','EQ','INE243D01012');",
BGR Energy Systems Ltd,CONSTRUCTION,BGRENERGY,EQ,INE661I01014,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('BGR Energy Systems Ltd','CONSTRUCTION','BGRENERGY','EQ','INE661I01014');",
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('BSE Ltd.','FINANCIAL SERVICES','BSE','EQ','INE118H01025');",
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Auto Ltd.','AUTOMOBILE','BAJAJ-AUTO','EQ','INE917I01010');",
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP,EQ,INE933K01021,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Corp Ltd.','CONSUMER GOODS','BAJAJCORP','EQ','INE933K01021');",
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Electricals Ltd','CONSUMER GOODS','BAJAJELEC','EQ','INE193E01025');",
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Finance Ltd.','FINANCIAL SERVICES','BAJFINANCE','EQ','INE296A01024');",
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Finserv Ltd.','FINANCIAL SERVICES','BAJAJFINSV','EQ','INE918I01018');",
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Hindusthan Sugar Ltd.','CONSUMER GOODS','BAJAJHIND','EQ','INE306A01021');",
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,"INSERT INTO `cnx500` (`company`, `industry`, `symbol`, `series`, `isin`) VALUES ('Bajaj Holdings & Investment Ltd.','FINANCIAL SERVICES','BAJAJHLDNG','EQ','INE118A01012');",
